No.,AIR,Team Name,Institute Name,Member 1,Member 2,Member 3,Rating,Location
31,600,"<a class=""rated-user user-violet"" href=""/profile/AbsoluteZero"" title=""Candidate master AbsoluteZero"">AbsoluteZer o</a>","Dr. B R Ambedkar National Institute of Technology , Jalandhar","<a class=""rated-user user-violet"" href=""/profile/deepak1527_"" title=""Candidate master deepak1527_"">deepak1527_</a>","<a class=""rated-user user-cyan"" href=""/profile/princejvm"" title=""Specialist princejvm"">princejvm</a>","<a class=""rated-user user-cyan"" href=""/profile/chinmay369"" title=""Specialist chinmay369"">chinmay369</a>","<a class=""rated-user user-violet"" href=""/profile/1969"" title=""Candidate master 1969"">1969</a>",Gwalior
32,126,"<a class=""rated-user user-violet"" href=""/profile/fit_bit"" title=""Candidate master fit_bit"">fit_bit</a>",Indian Institute of Technology - Mandi,"<a class=""rated-user user-blue"" href=""/profile/sagarguptasml"" title=""Expert sagarguptasml"">sagarguptas ml</a>","<a class=""rated-user user-blue"" href=""/profile/kush_s"" title=""Expert kush_s"">kush_s</a>","<a class=""rated-user user-blue"" href=""/profile/hitesh_r"" title=""Expert hitesh_r"">hitesh_r</a>","<a class=""rated-user user-violet"" href=""/profile/1952"" title=""Candidate master 1952"">1952</a>",Pune
33,40,"<a class=""rated-user user-violet"" href=""/profile/Grey Coders"" title=""Candidate master Grey Coders"">Grey Coders</a>",International Institute of Information Technology - Bangalore,"<a class=""rated-user user-blue"" href=""/profile/varadadesikan1"" title=""Expert varadadesikan1"">varadadesik an1</a>","<a class=""rated-user user-blue"" href=""/profile/mahi.mahidhar2"" title=""Expert mahi.mahidhar2"">mahi.mahidh ar2</a>","<a class=""rated-user user-blue"" href=""/profile/Heisenberg4269"" title=""Expert Heisenberg4269"">Heisenberg4 269</a>","<a class=""rated-user user-violet"" href=""/profile/1945"" title=""Candidate master 1945"">1945</a>",Pune
34,482,"<a class=""rated-user user-violet"" href=""/profile/HarHarMahadev"" title=""Candidate master HarHarMahadev"">HarHarMahad ev</a>",Institute of Engineering & Technology - Devi Ahilya Univ.,"<a class=""rated-user user-blue"" href=""/profile/justani"" title=""Expert justani"">justani</a>","<a class=""rated-user user-blue"" href=""/profile/xorier"" title=""Expert xorier"">xorier</a>","<a class=""rated-user user-blue"" href=""/profile/samyakjain"" title=""Expert samyakjain"">samyakjain</a>","<a class=""rated-user user-violet"" href=""/profile/1904"" title=""Candidate master 1904"">1904</a>",Gwalior
35,220,"<a class=""rated-user user-blue"" href=""/profile/Fire Breathing Rubber"" title=""Expert Fire Breathing Rubber"">Fire Breathing Rubber</a>","National Institute of Technology, Calicut","<a class=""rated-user user-blue"" href=""/profile/Fayaz"" title=""Expert Fayaz"">Fayaz</a>","<a class=""rated-user user-cyan"" href=""/profile/goginenibharath"" title=""Specialist goginenibharath"">goginenibha rath</a>","<a class=""rated-user user-cyan"" href=""/profile/Bharat_Reddy"" title=""Specialist Bharat_Reddy"">Bharat_Redd y</a>","<a class=""rated-user user-blue"" href=""/profile/1890"" title=""Expert 1890"">1890</a>",Pune
36,328,"<a class=""rated-user user-blue"" href=""/profile/Almost Placed"" title=""Expert Almost Placed"">Almost Placed</a>",Nirma University,"<a class=""rated-user user-blue"" href=""/profile/silversnitch"" title=""Expert silversnitch"">silversnitc h</a>","<a class=""rated-user user-blue"" href=""/profile/Jaimin_Patel"" title=""Expert Jaimin_Patel"">Jaimin_Pate l</a>","<a class=""rated-user user-blue"" href=""/profile/raj0711"" title=""Expert raj0711"">raj0711</a>","<a class=""rated-user user-blue"" href=""/profile/1886"" title=""Expert 1886"">1886</a>",Pune
37,77,"<a class=""rated-user user-blue"" href=""/profile/too_lazy2name"" title=""Expert too_lazy2name"">too_lazy2na me</a>",Indian Institute of Technology Jammu,"<a class=""rated-user user-blue"" href=""/profile/ak-iitjm"" title=""Expert ak-iitjm"">ak-iitjm</a>","<a class=""rated-user user-blue"" href=""/profile/iAmAwesome"" title=""Expert iAmAwesome"">iAmAwesome</a>","<a class=""rated-user user-cyan"" href=""/profile/vaibhavvashisht5"" title=""Specialist vaibhavvashisht5"">vaibhavvash isht5</a>","<a class=""rated-user user-blue"" href=""/profile/1864"" title=""Expert 1864"">1864</a>",Gwalior
38,389,"<a class=""rated-user user-blue"" href=""/profile/Pongal Vadai"" title=""Expert Pongal Vadai"">Pongal Vadai</a>",Madras Institute of Technology,"<a class=""rated-user user-blue"" href=""/profile/panipuri8"" title=""Expert panipuri8"">panipuri8</a>","<a class=""rated-user user-cyan"" href=""/profile/accelmage"" title=""Specialist accelmage"">accelmage</a>","<a class=""rated-user user-cyan"" href=""/profile/ravikumarn24"" title=""Specialist ravikumarn24"">ravikumarn2 4</a>","<a class=""rated-user user-blue"" href=""/profile/1858"" title=""Expert 1858"">1858</a>",Pune
39,74,"<a class=""rated-user user-blue"" href=""/profile/Brute Force"" title=""Expert Brute Force"">Brute Force</a>","National institute of Technology, Uttarakhand","<a class=""rated-user user-blue"" href=""/profile/rahulgoswami"" title=""Expert rahulgoswami"">rahulgoswam i</a>",,,"<a class=""rated-user user-blue"" href=""/profile/1832"" title=""Expert 1832"">1832</a>",Gwalior
40,290,"<a class=""rated-user user-blue"" href=""/profile/404_BrainNotFound"" title=""Expert 404_BrainNotFound"">404_BrainNo tFound</a>","National Institute of Technology, Patna","<a class=""rated-user user-blue"" href=""/profile/K_B_C_S"" title=""Expert K_B_C_S"">K_B_C_S</a>","<a class=""rated-user user-cyan"" href=""/profile/ankitssingh26"" title=""Specialist ankitssingh26"">ankitssingh 26</a>","<a class=""rated-user user-cyan"" href=""/profile/arcus"" title=""Specialist arcus"">arcus</a>","<a class=""rated-user user-blue"" href=""/profile/1827"" title=""Expert 1827"">1827</a>",Pune
